ID,Name,LongName,photoUrl,playerUrl,Nationality,Age,Club,Contract,Positions,Preferred Foot,Best Position,Joined,Loan Date End,W/F,SM,A/W,D/W,IR,Hits,Weight_kg,Height_cm,Value_eur,Release Clause_eur,Wage_eur
158023,L. Messi,Lionel Messi,https://cdn.sofifa.com/players/158/023/21_60.png,http://sofifa.com/player/158023/lionel-messi/210006/,Argentina,33,FC Barcelona,2004 ~ 2021,"RW, ST, CF",Left,RW,2004-07-01,,4 ★,4★,Medium,Low,5 ★,771.0,72,170.0,103500000.0,138400000.0,560000.0
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,https://cdn.sofifa.com/players/020/801/21_60.png,http://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/210006/,Portugal,35,Juventus,2018 ~ 2022,"ST, LW",Right,ST,2018-07-10,,4 ★,5★,High,Low,5 ★,562.0,83,187.0,63000000.0,75900000.0,220000.0
200389,J. Oblak,Jan Oblak,https://cdn.sofifa.com/players/200/389/21_60.png,http://sofifa.com/player/200389/jan-oblak/210006/,Slovenia,27,Atlético Madrid,2014 ~ 2023,GK,Right,GK,2014-07-16,,3 ★,1★,Medium,Medium,3 ★,150.0,87,188.0,120000000.0,159400000.0,125000.0
192985,K. De Bruyne,Kevin De Bruyne,https://cdn.sofifa.com/players/192/985/21_60.png,http://sofifa.com/player/192985/kevin-de-bruyne/210006/,Belgium,29,Manchester City,2015 ~ 2023,"CAM, CM",Right,CAM,2015-08-30,,5 ★,4★,High,High,4 ★,207.0,70,181.0,129000000.0,161000000.0,370000.0
190871,Neymar Jr,Neymar da Silva Santos Jr.,https://cdn.sofifa.com/players/190/871/21_60.png,http://sofifa.com/player/190871/neymar-da-silva-santos-jr/210006/,Brazil,28,Paris Saint-Germain,2017 ~ 2022,"LW, CAM",Right,LW,2017-08-03,,5 ★,5★,High,Medium,5 ★,595.0,68,175.0,132000000.0,166500000.0,270000.0
188545,R. Lewandowski,Robert Lewandowski,https://cdn.sofifa.com/players/188/545/21_60.png,http://sofifa.com/player/188545/robert-lewandowski/210006/,Poland,31,FC Bayern München,2014 ~ 2023,ST,Right,ST,2014-07-01,,4 ★,4★,High,Medium,4 ★,248.0,80,184.0,111000000.0,132000000.0,240000.0
209331,M. Salah,Mohamed Salah,https://cdn.sofifa.com/players/209/331/21_60.png,http://sofifa.com/player/209331/mohamed-salah/210006/,Egypt,28,Liverpool,2017 ~ 2023,RW,Left,RW,2017-07-01,,3 ★,4★,High,Medium,3 ★,246.0,71,175.0,120500000.0,144300000.0,250000.0
212831,Alisson,Alisson Ramses Becker,https://cdn.sofifa.com/players/212/831/21_60.png,http://sofifa.com/player/212831/alisson-ramses-becker/210006/,Brazil,27,Liverpool,2018 ~ 2024,GK,Right,GK,2018-07-19,,3 ★,1★,Medium,Medium,3 ★,120.0,91,191.0,102000000.0,120300000.0,160000.0
231747,K. Mbappé,Kylian Mbappé,https://cdn.sofifa.com/players/231/747/21_60.png,http://sofifa.com/player/231747/kylian-mbappe/210006/,France,21,Paris Saint-Germain,2018 ~ 2022,"ST, LW, RW",Right,ST,2018-07-01,,4 ★,5★,High,Low,3 ★,1600.0,73,178.0,185500000.0,203100000.0,160000.0
192448,M. ter Stegen,Marc-André ter Stegen,https://cdn.sofifa.com/players/192/448/21_60.png,http://sofifa.com/player/192448/marc-andre-ter-stegen/210006/,Germany,28,FC Barcelona,2014 ~ 2022,GK,Right,GK,2014-07-01,,4 ★,1★,Medium,Medium,3 ★,130.0,85,187.0,110000000.0,147700000.0,260000.0
203376,V. van Dijk,Virgil van Dijk,https://cdn.sofifa.com/players/203/376/21_60.png,http://sofifa.com/player/203376/virgil-van-dijk/210006/,Netherlands,28,Liverpool,2018 ~ 2023,CB,Right,CB,2018-01-01,,3 ★,2★,Medium,Medium,3 ★,321.0,92,193.0,113000000.0,145300000.0,210000.0
208722,S. Mané,Sadio Mané,https://cdn.sofifa.com/players/208/722/21_60.png,http://sofifa.com/player/208722/sadio-mane/210006/,Senegal,28,Liverpool,2016 ~ 2023,LW,Right,LW,2016-07-01,,4 ★,4★,High,Medium,3 ★,189.0,69,175.0,120500000.0,144300000.0,250000.0
200145,Casemiro,Carlos Henrique Venancio Casimiro,https://cdn.sofifa.com/players/200/145/21_60.png,http://sofifa.com/player/200145/carlos-henrique-venancio-casimiro/210006/,Brazil,28,Real Madrid,2013 ~ 2023,CDM,Right,CDM,2013-07-11,,3 ★,2★,High,High,3 ★,175.0,84,185.0,90500000.0,122000000.0,310000.0
192119,T. Courtois,Thibaut Courtois,https://cdn.sofifa.com/players/192/119/21_60.png,http://sofifa.com/player/192119/thibaut-courtois/210006/,Belgium,28,Real Madrid,2018 ~ 2024,GK,Left,GK,2018-08-09,,3 ★,1★,Medium,Medium,4 ★,96.0,96,199.0,82000000.0,119000000.0,250000.0
167495,M. Neuer,Manuel Neuer,https://cdn.sofifa.com/players/167/495/21_60.png,http://sofifa.com/player/167495/manuel-neuer/210006/,Germany,34,FC Bayern München,2011 ~ 2023,GK,Right,GK,2011-07-01,,4 ★,1★,Medium,Medium,5 ★,118.0,92,193.0,17500000.0,47900000.0,130000.0
165153,K. Benzema,Karim Benzema,https://cdn.sofifa.com/players/165/153/21_60.png,http://sofifa.com/player/165153/karim-benzema/210006/,France,32,Real Madrid,2009 ~ 2022,"CF, ST",Right,CF,2009-07-09,,4 ★,4★,Medium,Low,4 ★,216.0,81,185.0,83500000.0,108700000.0,350000.0
